SampleID	Sample_mock	Mock_type	Source_mock	DNA_Concentration
#q2:types	categorical	categorical	categorical	numeric
SRR20752614	sample	NA	NA	63.6
SRR20752613	sample	NA	NA	60
SRR20752602	sample	NA	NA	67.2
SRR20752591	sample	NA	NA	66
SRR20752580	sample	NA	NA	58.8
SRR20752569	sample	NA	NA	67.2
SRR20752558	sample	NA	NA	62.4
SRR20752547	sample	NA	NA	62.4
SRR20752541	sample	NA	NA	66
SRR20752540	sample	NA	NA	61.2
SRR20752612	sample	NA	NA	48
SRR20752611	sample	NA	NA	45
SRR20752610	mock	equil	zymo	10
SRR20752609	sample	NA	NA	61.2
SRR20752608	sample	NA	NA	57.3
SRR20752607	sample	NA	NA	44.4
SRR20752606	sample	NA	NA	57.6
SRR20752605	sample	NA	NA	62.4
SRR20752604	sample	NA	NA	44.1
SRR20752603	sample	NA	NA	57.3
SRR20752601	sample	NA	NA	53.1
SRR20752600	sample	NA	NA	43.8
SRR20752599	sample	NA	NA	57.9
SRR20752598	sample	NA	NA	54.3
SRR20752597	sample	NA	NA	43.2
SRR20752596	mock	equil	zymo	10
