SampleID	Sample_mock	Mock_type	Source_mock	DNA_Concentration
M1	sample	NA	NA	20
M1C	sample	NA	NA	20
M2	sample	NA	NA	20
M2C	sample	NA	NA	10
M3	sample	NA	NA	10
M3C	sample	NA	NA	20
M4	sample	NA	NA	20
M4C	sample	NA	NA	20
M5	sample	NA	NA	20
M5C	sample	NA	NA	20
M6	sample	NA	NA	20
M6C	sample	NA	NA	20
I1	sample	NA	NA	20
I1C	sample	NA	NA	20
I2	sample	NA	NA	20
I2C	sample	NA	NA	20
I3	sample	NA	NA	20
I3C	sample	NA	NA	20
I4	sample	NA	NA	20
I4C	sample	NA	NA	20
I5	sample	NA	NA	20
I5C	sample	NA	NA	20
I6	sample	NA	NA	20
I6C	sample	NA	NA	20
C1	sample	NA	NA	20
C1C	sample	NA	NA	20
C2	sample	NA	NA	20
C2C	sample	NA	NA	20
MC22	mock	log2	inhouse_wetsus_2022	10
MC23	mock	log2	inhouse_wetsus_2023	10
NC	blank	NA	NA	20
