"";"sampling_date";"sample_source";"timing";"analysis";"mean";"sd"
"1";20190911;"BODAC_1_effluent";"after_backwash";"total_COD";19,27;2,4
"2";20190911;"BODAC_1_effluent";"before_backwash";"total_COD";19,42;3,27
"3";20191212;"BODAC_1_effluent";"after_backwash";"total_COD";22,37;0,4
"4";20191212;"BODAC_1_effluent";"before_backwash";"total_COD";22,8;0,61
"5";20200304;"BODAC_1_effluent";"after_backwash";"total_COD";29,8;0,14
"6";20200304;"BODAC_1_effluent";"before_backwash";"total_COD";30,2;1,41
"7";20200625;"BODAC_1_effluent";"after_backwash";"total_COD";26,9;0,99
"8";20200625;"BODAC_1_effluent";"before_backwash";"total_COD";28,6;1,7
"9";20200915;"BODAC_1_effluent";"after_backwash";"total_COD";28,25;0,49
"10";20200915;"BODAC_1_effluent";"before_backwash";"total_COD";27,95;1,35
"11";20201214;"BODAC_1_effluent";"after_backwash";"total_COD";29,4;0,57
"12";20201214;"BODAC_1_effluent";"before_backwash";"total_COD";30,85;0,92
"13";20210317;"BODAC_1_effluent";"after_backwash";"total_COD";32,55;0,49
"14";20210317;"BODAC_1_effluent";"before_backwash";"total_COD";27,9;0,99
"15";20210325;"BODAC_1_effluent";"before_backwash";"total_COD";40,25;0,35
"16";20210616;"BODAC_1_effluent";"after_backwash";"total_COD";35,45;2,19
"17";20210616;"BODAC_1_effluent";"before_backwash";"total_COD";23,25;2,05
"18";20210901;"BODAC_1_effluent";"after_backwash";"total_COD";24,1;2,12
"19";20210901;"BODAC_1_effluent";"before_backwash";"total_COD";27,25;1,2
"20";20210908;"BODAC_1_effluent";"after_backwash";"total_COD";30,15;2,47
"21";20210908;"BODAC_1_effluent";"before_backwash";"total_COD";25;1,7
"22";20190911;"BODAC_2_effluent";"after_backwash";"total_COD";15,7;2,97
"23";20190911;"BODAC_2_effluent";"before_backwash";"total_COD";17,8;2,6
"24";20191212;"BODAC_2_effluent";"after_backwash";"total_COD";19,73;0,49
"25";20191212;"BODAC_2_effluent";"before_backwash";"total_COD";20,7;0,79
"26";20200304;"BODAC_2_effluent";"after_backwash";"total_COD";27;2,12
"27";20200304;"BODAC_2_effluent";"before_backwash";"total_COD";27,1;1,27
"28";20200625;"BODAC_2_effluent";"after_backwash";"total_COD";20,8;1,98
"29";20200625;"BODAC_2_effluent";"before_backwash";"total_COD";22,55;1,48
"30";20200915;"BODAC_2_effluent";"after_backwash";"total_COD";21,12;0,22
"31";20200915;"BODAC_2_effluent";"before_backwash";"total_COD";22,2;0,14
"32";20201214;"BODAC_2_effluent";"after_backwash";"total_COD";23,05;0,49
"33";20201214;"BODAC_2_effluent";"before_backwash";"total_COD";23,55;1,34
"34";20210317;"BODAC_2_effluent";"after_backwash";"total_COD";28,95;0,92
"35";20210317;"BODAC_2_effluent";"before_backwash";"total_COD";28,15;0,35
"36";20210325;"BODAC_2_effluent";"before_backwash";"total_COD";35,1;2,69
"37";20210616;"BODAC_2_effluent";"after_backwash";"total_COD";28,2;1,27
"38";20210616;"BODAC_2_effluent";"before_backwash";"total_COD";20,65;1,2
"39";20210901;"BODAC_2_effluent";"after_backwash";"total_COD";20,55;0,92
"40";20210901;"BODAC_2_effluent";"before_backwash";"total_COD";22,35;0,78
"41";20210908;"BODAC_2_effluent";"after_backwash";"total_COD";28,85;4,88
"42";20210908;"BODAC_2_effluent";"before_backwash";"total_COD";23,45;1,48
"43";20190911;"UF_permeate";"after_backwash";"total_COD";20,18;4,07
"44";20190911;"UF_permeate";"before_backwash";"total_COD";25;4,91
"45";20191212;"UF_permeate";"after_backwash";"total_COD";25,17;1,46
"46";20191212;"UF_permeate";"before_backwash";"total_COD";26,27;1,5
"47";20200304;"UF_permeate";"after_backwash";"total_COD";32,55;1,63
"48";20200304;"UF_permeate";"before_backwash";"total_COD";32,15;1,34
"49";20200625;"UF_permeate";"after_backwash";"total_COD";36,4;1,98
"50";20200625;"UF_permeate";"before_backwash";"total_COD";34,35;1,91
"51";20200915;"UF_permeate";"after_backwash";"total_COD";36,73;3,36
"52";20200915;"UF_permeate";"before_backwash";"total_COD";37,05;0,95
"53";20201214;"UF_permeate";"after_backwash";"total_COD";30,7;0,85
"54";20201214;"UF_permeate";"before_backwash";"total_COD";36,75;0,64
"55";20210317;"UF_permeate";"after_backwash";"total_COD";36,85;0,78
"56";20210317;"UF_permeate";"before_backwash";"total_COD";34,2;0,14
