SampleID	Sample_mock	Mock_type	Source_mock	DNA_Concentration
OBER.Mn.SO1	sample	NA	NA	18
OBER.Mn.SE1	sample	NA	NA	20
OBER.Mn.SE2	sample	NA	NA	10
OBER.Mn.SE3	sample	NA	NA	24
OBER.Mn.SE4	sample	NA	NA	26
OBER.Mn.SE5	sample	NA	NA	32
OBER.Mn.SE6	sample	NA	NA	27
OBER.Mn.JO1	sample	NA	NA	26
OBER.Mn.JO2	sample	NA	NA	18
OBER.Mn.JE1	sample	NA	NA	19
OBER.Mn.JE2	sample	NA	NA	16
OBER.Mn.JE3	sample	NA	NA	15
OBER.Mn.JE4	sample	NA	NA	15
OBER.Mn.NC	blank	NA	NA	NA
MCL1	mock	log2	inhouse_wetsus_2022	6
MCL2	mock	log2	inhouse_wetsus_2022	6
MCZ	mock	equil	zymo_equil	10
