SampleID	Sample_mock	Mock_type	Source_mock	DNA_Concentration
LUO.49	sample	NA	NA	20
LUO.50	sample	NA	NA	18
LUO.51	sample	NA	NA	20
LUO.52	sample	NA	NA	20
LUO.53	sample	NA	NA	16
LUO.54	sample	NA	NA	12
LUO.55	sample	NA	NA	18
LUO.56	sample	NA	NA	15
LUO.57	sample	NA	NA	20
LUO.58	sample	NA	NA	20
LUO.59	sample	NA	NA	20
LUO.60	sample	NA	NA	20
LUO.61	sample	NA	NA	8.6
LUO.62	sample	NA	NA	14
LUO.63	sample	NA	NA	9.5
LUO.64	sample	NA	NA	11
LUO.65	sample	NA	NA	20
LUO.66	sample	NA	NA	20
LUO.67	sample	NA	NA	20
LUO.68	sample	NA	NA	20
LUO.69	sample	NA	NA	20
LUO.70	sample	NA	NA	20
LUO.71	sample	NA	NA	20
LUO.72	sample	NA	NA	20
LUO.73	sample	NA	NA	20
LUO.74	sample	NA	NA	17
LUO.75	sample	NA	NA	18
LUO.76	sample	NA	NA	20
LUO.77	sample	NA	NA	18
LUO.78	sample	NA	NA	18
LUO.79	sample	NA	NA	16
LUO.80	sample	NA	NA	14
LUO.81	sample	NA	NA	20
LUO.82	sample	NA	NA	20
LUO.83	sample	NA	NA	20
LUO.84	sample	NA	NA	20
LUO.85	sample	NA	NA	20
LUO.86	sample	NA	NA	20
LUO.87	sample	NA	NA	20
LUO.88	sample	NA	NA	20
LUO.89	mock	log10	zymo_log10	11
