SampleID	Sample_mock	Mock_type	Source_mock	DNA_Concentration
YXIN01	sample	NA	NA	8
YXIN02	sample	NA	NA	8
YXIN03	sample	NA	NA	8
YXIN04	sample	NA	NA	8
YXIN05	sample	NA	NA	8
YXIN06	sample	NA	NA	8
YXIN07	sample	NA	NA	8
YXIN08	sample	NA	NA	8
YXIN09	sample	NA	NA	8
YXIN10	sample	NA	NA	8
YXIN11	sample	NA	NA	8
YXIN12	sample	NA	NA	8
YXIN13	sample	NA	NA	8
YXIN14	sample	NA	NA	8
YXIN15	sample	NA	NA	10
YXIN16	sample	NA	NA	8
YXIN17	sample	NA	NA	8
YXIN18	sample	NA	NA	8
YXIN19	sample	NA	NA	5
YXIN20	sample	NA	NA	8
YXIN21	sample	NA	NA	8
YXIN22	sample	NA	NA	3
YXIN23	sample	NA	NA	8
YXIN24	sample	NA	NA	8
YXIN25	sample	NA	NA	8
YXIN26	sample	NA	NA	8
YXIN27	sample	NA	NA	8
YXIN28	sample	NA	NA	8
YXIN29	sample	NA	NA	8
YXIN30	sample	NA	NA	8
YXIN31	blank	NA	NA	NA
YXIN32	mock	log2	inhouse_wetsus_2023	10
